lemma,pos,genus,genus 1,genus 2,genus 3,genus 4,nominativ singular,nominativ singular*,nominativ singular 1,nominativ singular 2,nominativ singular 3,nominativ singular 4,nominativ singular stark,nominativ singular schwach,nominativ singular gemischt,nominativ plural,nominativ plural*,nominativ plural 1,nominativ plural 2,nominativ plural 3,nominativ plural 4,nominativ plural stark,nominativ plural schwach,nominativ plural gemischt,genitiv singular,genitiv singular*,genitiv singular 1,genitiv singular 2,genitiv singular 3,genitiv singular 4,genitiv singular stark,genitiv singular schwach,genitiv singular gemischt,genitiv plural,genitiv plural*,genitiv plural 1,genitiv plural 2,genitiv plural 3,genitiv plural 4,genitiv plural stark,genitiv plural schwach,genitiv plural gemischt,dativ singular,dativ singular*,dativ singular 1,dativ singular 2,dativ singular 3,dativ singular 4,dativ singular stark,dativ singular schwach,dativ singular gemischt,dativ plural,dativ plural*,dativ plural 1,dativ plural 2,dativ plural 3,dativ plural 4,dativ plural stark,dativ plural schwach,dativ plural gemischt,akkusativ singular,akkusativ singular*,akkusativ singular 1,akkusativ singular 2,akkusativ singular 3,akkusativ singular 4,akkusativ singular stark,akkusativ singular schwach,akkusativ singular gemischt,akkusativ plural,akkusativ plural*,akkusativ plural 1,akkusativ plural 2,akkusativ plural 3,akkusativ plural 4,akkusativ plural stark,akkusativ plural schwach,akkusativ plural gemischt
-logie,"Gebundenes Lexem,Substantiv",f,,,,,-logie,,,,,,,,,-logien,,,,,,,,,-logie,,,,,,,,,-logien,,,,,,,,,-logie,,,,,,,,,-logien,,,,,,,,,-logie,,,,,,,,,-logien,,,,,,,,
-manie,"Gebundenes Lexem,Substantiv",f,,,,,-manie,,,,,,,,,-manien,,,,,,,,,-manie,,,,,,,,,-manien,,,,,,,,,-manie,,,,,,,,,-manien,,,,,,,,,-manie,,,,,,,,,-manien,,,,,,,,
-mantie,"Gebundenes Lexem,Substantiv",f,,,,,-mantie,,,,,,,,,,,,,,,,,,-mantie,,,,,,,,,,,,,,,,,,-mantie,,,,,,,,,,,,,,,,,,-mantie,,,,,,,,,,,,,,,,,
-meter,"Gebundenes Lexem,Substantiv",n,,,,,-meter,,,,,,,,,-meter,,,,,,,,,-meters,,,,,,,,,-meter,,,,,,,,,-meter,,,,,,,,,-metern,,,,,,,,,-meter,,,,,,,,,-meter,,,,,,,,
-meter,"Gebundenes Lexem,Substantiv",m,,,,,-meter,,,,,,,,,-meter,,,,,,,,,-meters,,,,,,,,,-meter,,,,,,,,,-meter,,,,,,,,,-metern,,,,,,,,,-meter,,,,,,,,,-meter,,,,,,,,
-phagie,"Gebundenes Lexem,Substantiv",f,,,,,-phagie,,,,,,,,,-phagien,,,,,,,,,-phagie,,,,,,,,,-phagien,,,,,,,,,-phagie,,,,,,,,,-phagien,,,,,,,,,-phagie,,,,,,,,,-phagien,,,,,,,,
-philie,"Gebundenes Lexem,Substantiv",f,,,,,-philie,,,,,,,,,-philien,,,,,,,,,-philie,,,,,,,,,-philien,,,,,,,,,-philie,,,,,,,,,-philien,,,,,,,,,-philie,,,,,,,,,-philien,,,,,,,,
-phobie,"Gebundenes Lexem,Substantiv",f,,,,,-phobie,,,,,,,,,-phobien,,,,,,,,,-phobie,,,,,,,,,-phobien,,,,,,,,,-phobie,,,,,,,,,-phobien,,,,,,,,,-phobie,,,,,,,,,-phobien,,,,,,,,
-sal,"Affix,Substantiv,Suffix",,n,f,,,,,-sal,-sal,,,,,,-sale,,,,,,,,,,,-sals,-sal,,,,,,-sale,,,,,,,,,,,-sal,-sal,,,,,,-salen,,,,,,,,,,,-sal,-sal,,,,,,-sale,,,,,,,,
-schaft,"Affix,Substantiv,Suffix",f,,,,,-schaft,,,,,,,,,-schaften,,,,,,,,,-schaft,,,,,,,,,-schaften,,,,,,,,,-schaft,,,,,,,,,-schaften,,,,,,,,,-schaft,,,,,,,,,-schaften,,,,,,,,
